var15,ind_var5,ind_var8_0,ind_var12_0,ind_var13_0,ind_var30,num_var30_0,num_var30,num_var42,saldo_var30,var36,TARGET
23,0,0,0,0,0,3,0,0,0.0,99,0
34,0,0,0,1,1,6,3,0,300.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
37,1,0,0,0,1,3,3,3,70.62,2,0
39,0,0,1,0,1,6,3,3,135003.0,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
27,1,0,0,0,1,3,3,3,3.0,3,0
26,1,0,0,0,1,3,3,3,3.0,2,0
45,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,3.0,2,0
42,0,1,0,0,1,3,3,3,12748.23,1,0
26,0,0,0,0,0,3,0,0,0.0,99,0
51,1,0,0,0,1,3,3,3,90.0,99,0
43,0,0,1,0,1,6,3,3,120000.0,1,0
33,0,1,0,0,1,3,3,3,3358.74,1,0
30,1,0,0,0,1,3,3,3,3.0,99,0
44,0,0,0,0,0,3,0,0,0.0,99,0
36,1,0,0,0,1,3,3,3,3079.05,1,0
55,1,0,0,0,1,3,3,3,9003.0,1,0
28,1,0,0,0,1,3,3,3,30.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
27,1,0,0,0,1,3,3,3,3.0,3,0
35,1,0,1,0,1,6,6,6,37.56,2,0
54,1,0,0,0,1,3,3,3,75.75,2,0
42,0,0,0,0,0,3,0,0,0.0,99,0
40,0,1,0,0,1,3,3,3,24633.84,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
25,0,0,0,0,0,3,0,0,0.0,99,0
24,1,0,0,0,1,3,3,3,6.0,99,0
23,1,0,0,0,1,3,3,3,67.56,2,0
14,0,0,1,0,0,3,0,0,0.0,99,0
66,0,0,0,0,0,3,0,0,0.0,99,1
26,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,240.3,1,0
42,1,0,0,0,1,3,3,3,930.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
39,0,0,0,0,0,3,0,0,0.0,99,0
39,1,0,0,0,1,3,3,3,49.02,1,0
23,1,0,0,0,1,3,3,3,90.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
50,0,0,0,0,0,3,0,0,0.0,99,0
22,1,0,0,0,1,3,3,3,90.0,0,0
25,1,0,0,0,1,3,3,3,3.0,99,0
24,1,0,0,0,1,3,3,3,3.0,99,0
62,1,0,0,0,1,3,3,3,6.03,2,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,99,0
42,1,0,0,1,1,6,6,3,27300.0,3,0
24,1,0,0,0,1,3,3,3,90.0,3,0
60,0,0,0,0,0,3,0,0,0.0,99,0
42,1,0,1,1,1,9,9,6,144088.23,1,0
22,1,0,0,0,1,3,3,3,90.0,0,0
64,0,0,0,0,0,3,0,0,0.0,99,0
76,0,0,0,1,1,3,3,0,27000.0,3,0
26,1,0,0,0,1,3,3,3,3.0,99,0
23,1,0,0,0,1,3,3,3,150.0,1,0
40,1,0,0,0,1,3,3,3,15.0,99,0
26,0,0,0,0,0,3,0,0,0.0,99,0
31,1,0,0,0,1,3,3,3,66.63,2,0
23,1,0,0,0,1,3,3,3,90.0,3,0
38,1,0,0,0,1,3,3,3,3939.39,1,0
41,1,0,1,0,1,6,3,3,1434.42,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
26,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,3.0,3,0
56,0,0,0,0,0,3,0,0,0.0,99,0
26,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
